Gene	AS_event_ID	chromosome	strand	Composite_coordinates	pvalue	qvalue	deltaPSI_control-KD
CG4049	chr2R_-_24113271_24114003_24123284_24123311_24123363	chr2R	-	24113271;24114003;24123284;24123311;24123363	0.000166737723798669	0.00199929328602648	-0.0057;0.00569999999999993;0.167133333333333;-0.0715;-0.0956666666666667
Slik	chr2R_-_24393203_24393486_24393514_24395275_24396041	chr2R	-	24393203;24393486;24393514;24395275;24396041	0.00169614108768899	0.0141847204169245	0.0595;-0.00346666666666667;-0.0560666666666667;-0.00523333333333333;0.0052333333333332
Slik	chr2R_-_24401771_24401808_24401833_24402215_24402322_24402559_24402569	chr2R	-	24401771;24401808;24401833;24402215;24402322;24402559;24402569	0.0268403320906941	0.122202739054579	-0.189366666666667;0.189366666666667;0.00693333333333332;-0.00693333333333335;-0.0315;-0.0638;0.0953666666666665;0.0395666666666667;0.0262;-0.0496666666666669;-0.0161333333333333
Mmp1	chr2R_-_24672306_24672549_24672851_24674971_24675061	chr2R	-	24672306;24672549;24672851;24674971;24675061	0.0305083014039546	0.13407331991322	-0.0763;0.0763;-0.0339666666666666;0.0545666666666666;-0.0205666666666667
Eps-15	chr2R_-_24772795_24772939_24772972_24773003_24773210	chr2R	-	24772795;24772939;24772972;24773003;24773210	0.00187517746899334	0.0153671738468684	-0.0534999999999999;0.0535;0.0535;0.00656666666666667;-0.0601333333333334
NKAIN	chr2R_+_24881626_24881682_24881771_24882629_24882634	chr2R	+	24881626;24881682;24881771;24882629;24882634	0.00187636753676011	0.0153749651695161	-0.3204;0.205566666666667;0.114866666666667;-0.0920333333333332;0.0920333333333333
NKAIN	chr2R_+_24883734_24884524_24884580_24887144_24887221_24892548_24894082	chr2R	+	24883734;24884524;24884580;24887144;24887221;24892548;24894082	0.011163781526951	0.0631202683570549	-0.104366666666667;0.0557;0.0486666666666667;-0.271933333333333;0.271933333333333;0.0284666666666665;-0.00219999999999998;-0.0262666666666667
NaCP60E	chr2R_+_24915462_24916770_24916890_24917318_24917577_24917646	chr2R	+	24915462;24916770;24916890;24917318;24917577;24917646	0.00327497650921278	0.0240856057158945	-0.213433333333333;0.213433333333333;0.00760000000000002;-0.00759999999999994;0.1626;-0.187266666666667;0.0247
MFS17	chr2R_-_2495023_2515641_2521439_2522391_2522730_2553781_2553877_2564442_2564669_2565117	chr2R	-	2495023;2515641;2521439;2522391;2522730;2553781;2553877;2564442;2564669;2565117	0.00117029986267923	0.0104636372273314	-0.0453;0.0453000000000001;-0.00993333333333334;-0.0763333333333333;0.0863;0.0242333333333333;0.1417;-0.149166666666667;-0.0168;0.0149;-0.0149;0.103766666666667;-0.103766666666667
CG3776	chr2R_+_24970417_24970468_24970470_24970548_24970603	chr2R	+	24970417;24970468;24970470;24970548;24970603	0.00610788755092258	0.0396020189905952	-0.00666666666666667;0.00666666666666682;0.0422;0.107466666666667;-0.149633333333333
emp	chr2R_-_24978818_24979531_24979661_24980547_24980754_24980998_24983017_24983021_24983025_24983027_24984305_24984379_24984475_24984502_24984557_24984648	chr2R	-	24978818;24979531;24979661;24980547;24980754;24980998;24983017;24983021;24983025;24983027;24984305;24984379;24984475;24984502;24984557;24984648	4.60381332030118e-08	1.26878409055971e-06	0.0367333333333333;-0.0367333333333334;0.0574333333333333;-0.0574333333333333;0.077;-0.0872333333333334;0.0102666666666667;0.00216666666666667;-0.00216666666666687;-0.0117666666666667;0.00393333333333333;0.00893333333333333;-0.0010333333333333;0.0009;0.0021;0.0181;0.0009;0.0005;0.0821666666666667;0.00496666666666666;0.00913333333333333;0.0278;-0.146433333333333;-0.00346666666666651;0.00346666666666667
zip	chr2R_-_24997301_24997531_24997576_24997697_24998276_24998301_25000037	chr2R	-	24997301;24997531;24997576;24997697;24998276;24998301;25000037	6.12682868789262e-22	7.41230888397194e-20	0.0573666666666667;-0.0573666666666667;-0.0707;-0.0948666666666667;0.165533333333333;-0.000866666666666667;-0.0730000000000001;0.137433333333334;-0.0636;0.0255333333333334;-0.0255333333333333
gol	chr2R_-_25078006_25078713_25083863_25084181_25087734_25091590	chr2R	-	25078006;25078713;25083863;25084181;25087734;25091590	0.0017357581128132	0.0144476337037098	0.0456333333333333;-0.0456333333333334;-0.0923666666666667;0.1633;0.0878333333333333;-0.158766666666667
Scp1	chr2R_-_2933284_2937669_2939462_2939643_2939697_2939708	chr2R	-	2933284;2937669;2939462;2939643;2939697;2939708	1.17381129385668e-11	5.4841317329925e-10	-0.4727;0.246;0.2267;0.428233333333333;-0.428233333333333;0.0708666666666666;-0.0708666666666666
NONE	chr2R_+_2962519_2962524_2962587_2962616	chr2R	+	2962519;2962524;2962587;2962616	0.0277414124656925	0.125376984989558	-0.3461;0.3461;0.0817333333333331;-0.0817333333333334;0.0780000000000001;-0.0780000000000001;-Inf;-Inf
Stlk	chr2R_+_4015214_4016402_4029739_4030297_4049076_4058934_4131124_4131174_4513740_4546980_4547054_4548155_4560359_4560789_4562843	chr2R	+	4015214;4016402;4029739;4030297;4049076;4058934;4131124;4131174;4513740;4546980;4547054;4548155;4560359;4560789;4562843	8.58184452577746e-40	2.96401222677672e-37	-0.0337666666666666;0.0337666666666667;-0.0124666666666667;0.0423333333333333;-0.1935;0.00933333333333333;0.125166666666667;0.0291666666666667;-0.0262666666666667;0.0262666666666667;-0.2474;-0.00193333333333334;0.2494;0.0111333333333334;-0.0111333333333333;-0.00919999999999987;0.0283333333333333;-0.0208333333333333;0.00170000000000001;0.4999;-0.4999;0.0244999999999999;-0.0245
CG44085	chr2L_+_13261692_13267972_13268085_13268090_13271294	chr2L	+	13261692;13267972;13268085;13268090;13271294	3.09451049528575e-07	7.39837918599375e-06	0.0578666666666666;-0.0578666666666667;0.0962666666666667;0.0567333333333333;-0.153
Gprk1	chr2R_-_4379155_4393437_4407979_4408032_4427934_4427997_4458021_4458517_4470768_4664797	chr2R	-	4379155;4393437;4407979;4408032;4427934;4427997;4458021;4458517;4470768;4664797	4.29723175184209e-06	8.1409161005629e-05	-0.00436666666666668;0.00436666666666663;-0.0552666666666667;0.0552666666666666;-0.004;0.00400000000000023;0.131333333333333;-0.125833333333333;-0.00553333333333333;0.0520333333333334;-0.0520333333333333;0.0170999999999999;-0.0171;0.011;-0.011
CG44085	chr2L_+_13266988_13266992_13266996_13267231_13267475_13267593	chr2L	+	13266988;13266992;13266996;13267231;13267475;13267593	0.00136038283978425	0.0118241583020674	-0.300666666666667;0.300666666666667;0.0332333333333333;-0.129233333333333;-0.0172333333333334;0.113166666666667;0.1588;-0.1588;0.5045;-0.5045
Nipped-B	chr2R_-_4692795_4692861_4692950_4693009_4693483_4695049_4695117	chr2R	-	4692795;4692861;4692950;4693009;4693483;4695049;4695117	4.44449087034153e-05	0.000648905768185478	-0.0495333333333333;0.0495333333333333;-0.015;0.015;0.0217666666666667;0.0957999999999998;-0.117566666666667;-0.0099;0.00990000000000002
CG44085	chr2L_+_13274376_13274641_13274689_13274850_13275586_13275838_13275865_13276245	chr2L	+	13274376;13274641;13274689;13274850;13275586;13275838;13275865;13276245	0.000366144792222047	0.00390722717560408	-0.0397;0.0582333333333333;-0.0132333333333333;-0.00526666666666664;0.0433;0.00463333333333338;-0.0478666666666667;-0.0714333333333332;0.0714333333333333
Ir41a	chr2R_+_4935787_4937621_4937627_4942082_4949675_4949924_4950463_4975729_4975866_4975932_4986702_5020316_5090641_5090742_5091800_5091870	chr2R	+	4935787;4937621;4937627;4942082;4949675;4949924;4950463;4975729;4975866;4975932;4986702;5020316;5090641;5090742;5091800;5091870	4.58342557800347e-13	2.52524736326347e-11	-0.126266666666667;0.1943;-0.0679999999999999;-0.0358;-0.0305;-0.0484;0.1191;0.0670666666666667;-0.0714333333333333;0.074;0.154433333333333;0.0599;-0.0185999999999998;-0.0407666666666667;-0.228966666666667;0.0757333333333333;0.0972333333333333;0.0667;-0.239666666666667;0.2023;0.069;0.207333333333333;-0.478633333333333
Nipped-A	chr2R_-_5242582_5245950_5246137_5248263_5249388_5250727_5252056_5255858	chr2R	-	5242582;5245950;5246137;5248263;5249388;5250727;5252056;5255858	6.39798547441414e-05	0.000881812883204974	-0.00573333333333334;0.0528333333333334;-0.0471;Inf;Inf;Inf;0.0435666666666664;-0.00676666666666666;-0.0368;-0.0425666666666667;0.0782333333333333;-0.0357
CG30440	chr2R_-_5485966_5491998_5492113_5503315_5503401_5503413	chr2R	-	5485966;5491998;5492113;5503315;5503401;5503413	5.82631665317297e-06	0.000106060756054544	-0.261066666666667;-0.2003;0.4613;0.0763666666666666;-0.0763666666666667;0.133066666666667;-0.133066666666667
hrm	chr2R_-_5644041_5647720_5647824_5647891_5652497_5652505_5654014_5655988	chr2R	-	5644041;5647720;5647824;5647891;5652497;5652505;5654014;5655988	0.000611984969145085	0.00604281069825536	-0.0460333333333333;0.0460333333333334;0.0316333333333333;-0.0298333333333333;-0.0018;-0.0065;0.00343333333333318;-0.00726666666666667;0.0103333333333333
DIP-lambda	chr2R_+_579217_579272_579277_621235_642098	chr2R	+	579217;579272;579277;621235;642098	1.00687614878797e-06	2.18227836283023e-05	-0.241533333333333;0.241533333333333;0.230233333333333;0.208933333333333;-0.439166666666667
Src42A	chr2R_+_5986666_5993377_5997762_6001423_6009061	chr2R	+	5986666;5993377;5997762;6001423;6009061	4.01164845154501e-06	7.65861242721257e-05	-0.0973999999999999;0.00980000000000001;0.0876666666666666;0.0504666666666665;-0.0504666666666667
CG14591	chr2R_-_6038446_6038506_6040080_6040449_6040524_6047511	chr2R	-	6038446;6038506;6040080;6040449;6040524;6047511	0.000868340766134489	0.00813886270760171	-0.0653333333333334;0.0653333333333333;0.0904333333333333;0.0683333333333334;-0.100466666666667;-0.0583333333333333
CG14589	chr2R_+_6127643_6136712_6137699_6137813_6137925_6137987	chr2R	+	6127643;6136712;6137699;6137813;6137925;6137987	3.79212358530646e-13	2.10371166877092e-11	0.00113333333333333;0.0256;-0.0108333333333333;-0.0159666666666667;-0.355233333333333;0.355233333333333
CG14589	chr2R_+_6138260_6138265_6138316_6159023_6159084_6159118_6159268_6159731	chr2R	+	6138260;6138265;6138316;6159023;6159084;6159118;6159268;6159731	3.59656695300971e-08	1.00982105606773e-06	0.00223333333333333;-0.0022333333333332;-0.298;-0.00123333333333336;0.2993;0.00693333333333324;-0.00693333333333333;0.0223333333333333;0.0738;-0.0961333333333334
loqs	chr2L_+_13384022_13384525_13384655_13384794_13384982_13384985	chr2L	+	13384022;13384525;13384655;13384794;13384982;13384985	4.57942162955998e-07	1.06166230568229e-05	-0.0172333333333334;0.0172333333333333;0.0165666666666666;-0.0165666666666667;0.0123333333333333;0.00416666666666667;-0.0241666666666666;0.0077;0.0924666666666666;-0.0924666666666667
jing	chr2R_+_6341606_6481049_6503688_6546298_6613870_6614103	chr2R	+	6341606;6481049;6503688;6546298;6613870;6614103	0.000729463138761045	0.00701833780098073	-0.387166666666667;0.387166666666667;0.122933333333333;-0.122933333333333;Inf;Inf;0.0265333333333334;-0.0265333333333334
Debcl	chr2R_+_6649578_6649782_6649838_6651471_6651521_6651987	chr2R	+	6649578;6649782;6649838;6651471;6651521;6651987	4.36558511254644e-17	3.45807093976691e-15	0.211;0.0993;-0.263766666666667;-0.0465333333333333;0.176666666666667;-0.176666666666667
phtf	chr2R_+_6707375_6708488_6708547_6739610_6742092_6742149_6742357_6742388_6742703	chr2R	+	6707375;6708488;6708547;6739610;6742092;6742149;6742357;6742388;6742703	1.10902870659503e-31	2.40692949798551e-29	-0.00296666666666678;0.00296666666666667;-0.00923333333333333;0.00306666666666667;-6.66666666666667e-05;0.00623333333333331;0.616233333333333;-0.616233333333333;-0.000799999999999999;-0.000466666666666666;0.00130000000000008
phtf	chr2R_+_6744539_6744597_6744601_6746923_6747241	chr2R	+	6744539;6744597;6744601;6746923;6747241	0.000175371285296014	0.00208703199121473	-0.138;0.138;-0.000133333333333208;0.0026;-0.00243333333333333
Eb1	chr2R_+_6753503_6754438_6754700_6754703	chr2R	+	6753503;6754438;6754700;6754703	1.32924675237225e-20	1.40911123133904e-18	-0.03;0.03;-0.0351;0.0350999999999999;-0.00833333333333308;0.00833333333333332;-0.00833333333333319;0.00833333333333332
Spn42Da	chr2R_-_6876118_6876526_6876594_6876733_6876796_6877122_6877219	chr2R	-	6876118;6876526;6876594;6876733;6876796;6877122;6877219	4.65963139348811e-11	2.02530027299777e-09	-0.0102;-0.0291333333333333;-0.0437333333333333;0.0831333333333333;0.1873;-0.1873;0.2494;-0.2494
mim	chr2R_-_6939343_6945427_6951966_6962878_6963095_6970891	chr2R	-	6939343;6945427;6951966;6962878;6963095;6970891	0.00135584529460445	0.0117911002532401	-0.0368666666666667;0.0182;0.0186666666666667;0.0284666666666667;-0.0284666666666665;-0.2399;0.2399
Dscam1	chr2R_-_7332380_7334932_7335218_7335714_7336003_7342581_7342881_7344277_7344569_7346166_7347847	chr2R	-	7332380;7334932;7335218;7335714;7336003;7342581;7342881;7344277;7344569;7346166;7347847	2.89615416997185e-08	8.27264740031844e-07	-0.0673333333333333;-0.102933333333333;0.0138;-0.0640666666666667;0.0243333333333333;0.196233333333333;-0.0976;0.0204666666666667;-0.00726666666666664;0.0833333333333334;0.00113333333333332
B4	chr2L_-_13509792_13512958_13513470_13513473_13534905	chr2L	-	13509792;13512958;13513470;13513473;13534905	1.15981989249415e-08	3.5513817785375e-07	-0.210233333333333;0.0511333333333334;0.159066666666667;0.287966666666667;-0.287966666666667
B4	chr2L_-_13535026_13535423_13541991_13542178_13542210_13546909_13547161_13549130	chr2L	-	13535026;13535423;13541991;13542178;13542210;13546909;13547161;13549130	1.31668882154311e-29	2.59464437376536e-27	-0.0147333333333333;0.0147333333333335;-0.0624333333333332;0.0624333333333333;0.0806;-0.288933333333333;0.162166666666667;0.0461333333333333;-0.000900000000000234;0.0009
Aldh-III	chr2R_-_7467826_7468420_7468537_7469108_7469225_7469358	chr2R	-	7467826;7468420;7468537;7469108;7469225;7469358	8.9137045036958e-05	0.00116758851847541	-0.0163333333333333;0.0205666666666668;-0.0042;0.0109333333333336;0.00189999999999999;-0.0128
Aldh-III	chr2R_-_7475559_7475813_7476245_7476305_7476462_7476589_7476887_7476995_7477189	chr2R	-	7475559;7475813;7476245;7476305;7476462;7476589;7476887;7476995;7477189	0.000726589920124369	0.00699488431870367	-0.0904000000000001;0.0904;-0.145066666666667;-0.0590666666666667;0.0661;0.105633333333333;0.0411;-0.0355666666666666;0.0269
didum	chr2R_+_7505499_7505647_7505746_7505837_7505842	chr2R	+	7505499;7505647;7505746;7505837;7505842	0.0160888770711934	0.0836962954029099	-0.00133333333333319;0.00133333333333335;-0.0109333333333334;0.0165;-0.00563333333333333
Pten	chr2L_-_10256506_10256908_10257122_10257393_10257716_10257776	chr2L	-	10256506;10256908;10257122;10257393;10257716;10257776	0.0026506927079784	0.0203032252597162	-0.0401000000000001;0.0401;0.0048;-0.00479999999999992;0.0502666666666667;-0.0572999999999999;0.00703333333333334
CG46385	chr2R_-_7729708_7735152_7735375_7741920_7742006_7744878_7745143_7745219_7747472_7753568_7758033_7778473_7779885_7781725	chr2R	-	7729708;7735152;7735375;7741920;7742006;7744878;7745143;7745219;7747472;7753568;7758033;7778473;7779885;7781725	4.05135761845207e-06	7.7255286430032e-05	0.0127;-0.0203333333333334;0.0077;-0.00406666666666677;0.00406666666666666;-0.0137;0.0137;-0.0583666666666667;-0.0401999999999998;0.0984333333333333;0.1139;-0.0449666666666667;-0.000333333333333333;0.00313333333333333;0.00106666666666667;0.0033;-0.0673;-0.0088;0.0869333333333334;-0.0869333333333334
Dgk	chr2R_-_7845199_7845223_7845737_7845870_7846754_7847430	chr2R	-	7845199;7845223;7845737;7845870;7846754;7847430	0.0263958514495833	0.120853530965197	0.0145999999999999;-0.0146;-0.0249666666666667;0.0249666666666666;0.0204333333333333;-0.0204333333333333;0.000400000000000067;-0.000399999999999999
azot	chr2R_+_7950342_7950388_7950410_7956289_7956634	chr2R	+	7950342;7950388;7950410;7956289;7956634	1.88440986713543e-09	6.44892873104765e-08	-0.1289;0.1289;0.0017;0.05;-0.0517666666666667
CG8726	chr2R_-_7969476_7969572_7969769_7969813_7969867	chr2R	-	7969476;7969572;7969769;7969813;7969867	0.000139238183394848	0.00171159589350716	-0.1449;0.144333333333333;0.00053333333333333;0.1288;-0.1288
kuz	chr2L_+_13636001_13636213_13636382_13636843_13637222_13637286	chr2L	+	13636001;13636213;13636382;13636843;13637222;13637286	0.00154146749083822	0.0131107391869374	-0.246233333333333;0.0746333333333333;0.0268;0.144833333333333;-0.257966666666667;0.257966666666667
CG17977	chr2R_-_8057331_8066758_8067068_8067124_8067183	chr2R	-	8057331;8066758;8067068;8067124;8067183	1.80713345243621e-13	1.03192942327071e-11	-0.0237;0.0291666666666666;-0.00556666666666667;0.014966666666667;-0.0149666666666667
lig	chr2R_+_8072778_8073125_8073234_8073365_8073471_8073598_8073613	chr2R	+	8072778;8073125;8073234;8073365;8073471;8073598;8073613	0.0275289805396108	0.124611699467668	0.0136;-0.0174333333333333;0.00383333333333336;-0.0119333333333331;0.0119333333333333;0.0182000000000001;-0.0182;0.0091333333333331;-0.00913333333333333
lig	chr2R_+_8074404_8074500_8075369_8075410_8075471_8075474	chr2R	+	8074404;8074500;8075369;8075410;8075471;8075474	0.000252321590874034	0.0028437528630419	0.00466666666666667;0.00629999999999997;-0.0110333333333333;0.0121;-0.0206999999999996;0.0086
sand	chr2R_+_8091226_8091529_8092165_8095013_8095077	chr2R	+	8091226;8091529;8092165;8095013;8095077	0.0072738647476387	0.0453626196731441	-0.231733333333333;0.1243;0.107466666666667;0.152566666666667;-0.152566666666667
Lpin	chr2R_-_8140149_8140176_8140241_8140371_8140463_8140512	chr2R	-	8140149;8140176;8140241;8140371;8140463;8140512	5.88741693255877e-10	2.18620549806074e-08	-0.00336666666666663;0.00336666666666667;-0.00556666666666667;0.0337999999999999;-0.0282333333333333;0.0075333333333335;-0.00753333333333333
Lpin	chr2R_-_8143074_8145753_8148395_8149306_8156053	chr2R	-	8143074;8145753;8148395;8149306;8156053	5.75689562179937e-05	0.000807310045055693	-0.0287000000000001;0.0287000000000001;-0.190233333333333;0.190233333333333;0.0164333333333336;-0.0164333333333333
CG14346	chr2L_+_1368109_1368125_1368152_1368166_1368213	chr2L	+	1368109;1368125;1368152;1368166;1368213	0.000369236063264114	0.00393433304696466	0.0185000000000001;-0.0185;0.0238666666666667;0.0358333333333333;-0.0597333333333332
pdm3	chr2R_+_8393737_8394561_8394564_8394619_8395029	chr2R	+	8393737;8394561;8394564;8394619;8395029	0.0383093376105638	0.157063638869119	0.0425666666666667;-0.0425666666666665;-0.0621666666666666;0.0168666666666667;0.0453
CG2121	chr2R_-_8404285_8411095_8416340_8417205_8417430	chr2R	-	8404285;8411095;8416340;8417205;8417430	0.000602139374331645	0.00596484742427744	-0.227133333333333;0.227133333333333;0.229233333333333;0.174733333333333;-0.403966666666667
CG12376	chr2R_+_8702201_8702533_8702998_8703050_8703064	chr2R	+	8702201;8702533;8702998;8703050;8703064	0.000471779629572876	0.00483914979776323	-0.0253333333333333;0.0253333333333333;0.0240666666666666;-0.0240666666666667;0.00356666666666683;-0.00356666666666667
CG13743	chr2R_-_9048026_9048174_9048337_9048465_9049878	chr2R	-	9048026;9048174;9048337;9048465;9049878	8.74010853683629e-05	0.00114867698959677	0.109666666666667;-0.109666666666667;-0.307933333333333;0.307933333333333;-0.409733333333333;0.409733333333333
CG13743	chr2R_-_9050629_9050841_9051151_9055885_9059120_9059253	chr2R	-	9050629;9050841;9051151;9055885;9059120;9059253	5.55322225240997e-10	2.06808435198301e-08	0.0464;-0.4223;0.3357;0.0402;-0.4314;0.4314
CG18659	chr2R_-_9124139_9124145_9124742_9125220_9125549_9126066_9126179_9126213_9127025_9127162_9127417	chr2R	-	9124139;9124145;9124742;9125220;9125549;9126066;9126179;9126213;9127025;9127162;9127417	0.00103086739311222	0.00940280451525229	-0.000166666666666669;0.0347;-0.0345333333333333;-0.006;-0.0362000000000001;0.0394666666666667;0.00266666666666667;-0.0295333333333333;0.0365666666666667;-0.0071;0.0302333333333334;-0.0302333333333333;-0.00903333333333334;0.00903333333333334
Hydr1	chr2R_+_9132528_9132589_9132767_9132986_9133045_9133046_9133347_9133597	chr2R	+	9132528;9132589;9132767;9132986;9133045;9133046;9133347;9133597	3.35679982729704e-05	0.000506444757410497	0.0786333333333333;-0.0159;-0.0479000000000001;-0.0148333333333333;-0.00496666666666667;-0.00666666666666667;-0.0185;0.0088;0.0766333333333333;-0.0553;0.429433333333333;-0.429433333333333;0.1972;-0.1972;0.0205666666666666;-0.0205666666666667;-Inf;-Inf
alc	chr2R_-_9135995_9136194_9136822_9136950_9138921_9139436_9139527_9139589	chr2R	-	9135995;9136194;9136822;9136950;9138921;9139436;9139527;9139589	0.00061425027212992	0.00605959025366987	-0.0465666666666665;0.0465666666666666;0.0890666666666667;-0.0139;-0.0816333333333332;0.0150666666666667;-0.0222333333333333;0.0137333333333333
Pkn	chr2R_-_9255709_9256038_9257408_9258060_9258838	chr2R	-	9255709;9256038;9257408;9258060;9258838	0.00523941018547683	0.0349734985167515	-0.0410666666666667;0.0410666666666667;0.0132999999999999;-0.0133;0.129833333333333;-0.129833333333333
brp	chr2R_+_9511199_9514157_9514163_9522936_9524293_9527286	chr2R	+	9511199;9514157;9514163;9522936;9524293;9527286	2.8761618083971e-05	0.000443939237706003	0.121733333333333;-0.1378;-0.1022;0.118266666666667;0.0758666666666667;-0.0758666666666667
NONE	chr2R_+_9592786_9592881_9593009_9593028_9593091_9593094	chr2R	+	9592786;9592881;9593009;9593028;9593091;9593094	0.00673785912958149	0.0427756505922961	0.0223666666666669;-0.0223666666666666;0.177566666666667;-0.177566666666667;0.344133333333333;-0.0913333333333334;-0.2528
CG1902	chr2R_+_9593725_9594159_9598580_9599579_9603867	chr2R	+	9593725;9594159;9598580;9599579;9603867	0.00526527565140216	0.0351111477512627	0.0492666666666667;-0.0492666666666665;0.00983333333333333;0.00023333333333353;-0.0101;0.162666666666667;-0.162666666666667;0.0142;-0.0142000000000001
Vamp7	chr2R_-_9842167_9842225_9842295_9842299	chr2R	-	9842167;9842225;9842295;9842299	0.000151251500445188	0.0018353886739893	-0.166666666666667;0.166666666666667;-0.0949;0.0949;-0.00406666666666667;0.00406666666666666;-0.0502333333333333;0.0502333333333334
CenG1A	chr2L_+_13836432_13872072_13872105_13879706_13891298	chr2L	+	13836432;13872072;13872105;13879706;13891298	0.0312827167302736	0.136588974933223	-0.110433333333333;0.110433333333333;-0.0125333333333333;0.0621;-0.0495333333333335
Sec24AB	chr2R_-_9881216_9881465_9881864_9881878_9882181_9882183_9883494_9883543_9883558	chr2R	-	9881216;9881465;9881864;9881878;9882181;9882183;9883494;9883543;9883558	2.43648341010018e-07	5.92517092971609e-06	-0.4542;0.4542;0.000833333333333334;0.00293333333333333;0.0257333333333333;-0.0105999999999999;-0.00743333333333333;-0.0057;-0.00566666666666667
Mef2	chr2R_-_9916891_9916912_9917455_9917531_9917936	chr2R	-	9916891;9916912;9917455;9917531;9917936	0.0228886772315359	0.109023359048082	0.0363333333333333;0.0739;-0.110266666666667;0.00489999999999999;-0.00489999999999979
dpr10	chr3L_-_10151103_10151346_10151609_10153421_10153611	chr3L	-	10151103;10151346;10151609;10153421;10153611	0.0120226322353508	0.0667888202552034	-0.1178;0.1178;0.2519;0.0102;-0.262133333333333
Rbfox1	chr3L_+_10587687_10587841_10589354_10589516_10590325	chr3L	+	10587687;10587841;10589354;10589516;10590325	1.92587753266757e-16	1.44364409073626e-14	-0.335133333333333;0.335133333333333;0.00263333333333333;0.279;-0.281633333333333
CG43127	chr3L_-_10622677_10623237_10623454_10623507_10624706_10624939_10624999	chr3L	-	10622677;10623237;10623454;10623507;10624706;10624939;10624999	8.3297395484292e-35	2.14044319332256e-32	-0.004;-0.0406;-0.00636666666666667;0.0509666666666668;-0.6127;0.6127;0.563566666666667;-0.563566666666667
CG42692	chr2L_+_14008306_14008362_14008434_14008435_14008490_14008494_14008508_14008523_14008542_14012966_14013138_14013917_14015785	chr2L	+	14008306;14008362;14008434;14008435;14008490;14008494;14008508;14008523;14008542;14012966;14013138;14013917;14015785	1.02877672661569e-28	1.89912774984249e-26	-0.2031;-0.603933333333333;0.0149;0.792233333333333;0.0184666666666665;0.00226666666666667;-0.0207;0.0257;0.0335;0.166;0.0026;0.00816666666666667;-0.0133666666666667;-0.222666666666667
Mob2	chr3L_-_11527342_11527453_11541776_11554118_11561892	chr3L	-	11527342;11527453;11541776;11554118;11561892	0.00996168981409733	0.0576998390900213	-0.019;0.019;0.0329;0.013;-0.0459333333333333
CG18815	chr3L_+_11629598_11630228_11630465_11631590_11634612_11635191_11640066	chr3L	+	11629598;11630228;11630465;11631590;11634612;11635191;11640066	2.01887682353345e-07	4.96154039864622e-06	-0.6288;0.6288;-0.2066;0.2066;0.0405;0.248333333333334;-0.1846;-0.1043
NONE	chr2L_-_1404848_1433107_1447628_1457598_1463364_1463491_1463688	chr2L	-	1404848;1433107;1447628;1457598;1463364;1463491;1463688	0.000285325949586343	0.0031608982419916	-0.0702333333333333;-0.160966666666667;-0.0933666666666666;0.324633333333333;0.0223;-0.0225333333333333;0.000333333333333408;-0.2257;0.2257;0.1296;-0.1296
Pop2	chr3L_-_12001090_12001725_12001865_12001931_12001996_12002584	chr3L	-	12001090;12001725;12001865;12001931;12001996;12002584	0.00392836187545248	0.0277290292540318	-0.0545999999999999;-0.0204666666666667;-0.0216;0.0967333333333333;0.0403;-0.0403000000000001
NONE	chr3L_+_12089074_12089264_12091924_12093319_12093562_12095223_12099975	chr3L	+	12089074;12089264;12091924;12093319;12093562;12095223;12099975	4.10151259257007e-07	9.60223288845822e-06	-0.5624;0.5624;0.0427999999999999;-0.0428000000000001;0.0972333333333334;-0.0972333333333333;-0.1034;0.266333333333333;-0.1629
Adk1	chr3L_-_12201496_12201777_12201862_12203717_12204329	chr3L	-	12201496;12201777;12201862;12203717;12204329	5.92309745965908e-09	1.8958928943994e-07	-0.00230000000000008;0.0023;-0.000433333333333334;0.0124333333333332;-0.0119333333333333
app	chr3L_-_12214051_12214179_12215616_12215802_12216417_12216579_12219003_12219976	chr3L	-	12214051;12214179;12215616;12215802;12216417;12216579;12219003;12219976	2.57541777142613e-08	7.41095209356387e-07	0.00113333333333333;-0.00113333333333343;-0.0151666666666667;-0.00636666666666663;0.0215666666666667;0.2178;-0.186833333333333;-0.00826666666666667;-0.0226666666666667
CG10616	chr3L_+_12471929_12472020_12472196_12472483_12472545	chr3L	+	12471929;12472020;12472196;12472483;12472545	5.61732203182279e-13	3.06855769257082e-11	-0.00203333333333333;-0.0048999999999999;0.00693333333333333;0.00246666666666673;-0.00246666666666667
asRNA:CR43868	chr3L_+_12490074_12498642_12499538_12499600_12499769_12500017	chr3L	+	12490074;12498642;12499538;12499600;12499769;12500017	5.50386926615561e-05	0.000778136989670571	-0.0384666666666667;0.038466666666667;-0.0295;0.0295000000000002;0.0779;-0.0778999999999997;-0.1339;0.1339
Dyrk2	chr2L_-_14222081_14229457_14229530_14229536_14233646	chr2L	-	14222081;14229457;14229530;14229536;14233646	1.49184868427309e-19	1.46990569518999e-17	-0.222366666666667;0.222366666666667;0.0306666666666666;0.201366666666667;-0.232033333333333
CG9130	chr3L_+_1253723_1253737_1253786_1253993_1254074	chr3L	+	1253723;1253737;1253786;1253993;1254074	1.42645744366081e-06	2.99467492281744e-05	-0.0760666666666667;6.66666666666666e-05;0.076;0.0004;-0.000400000000000067
